Título da Coleção;Vinícola / Marca;Categoria;Nome do Vinho;Tipo;"Método de
Elaboração";Uva(s) Principal(is);Highlight
Vinhos e espumantes essenciais de Pinto Bandeira na Serra Gaúcha;Família Geisse;Essencial;Cave Geisse Rosé Brut;Espumante Rosé;Champenoise;Pinot Noir, Chardonnay;Cartão de visitas da Cave Geisse — introduz o estilo fino e elegante da vinícola com custo-benefício exemplar.
Vinhos e espumantes essenciais em Pinto Bandeira na Serra Gaúcha;Família Geisse;Essencial;Cave Geisse Nature;Espumante Branco;Champenoise;Chardonnay, Pinot Noir;Referência da região no estilo Nature — pureza e terroir sem intervenção de açúcar.
Vinhos e espumantes essenciais em Pinto Bandeira na Serra Gaúcha;Vinícola Don Giovanni;Essencial;Don Giovanni Rosé Pinot Noir 2022;Vinho Rosé Tranquilo;—;Pinot Noir;Mostra que Pinto Bandeira vai além do espumante — um rosé tranquilo de alta qualidade com identidade clara de terroir.
Vinhos e espumantes essenciais em Pinto Bandeira na Serra Gaúcha;Vinícola Aurora;Essencial;Espumante Aurora Pinto Bandeira Extra Brut 36 Meses;Espumante Branco;Champenoise;Chardonnay, Pinot Noir;Representa a expressão de grande cooperativa com qualidade de nível superior — 36 meses de autólise a preço acessível.
Vinhos e espumantes essenciais em Pinto Bandeira na Serra Gaúcha;Vinícola Vita Eterna;Essencial;Espumante Vita Eterna Nature 2020;Espumante Branco;Champenoise;Chardonnay, Pinot Noir;Espumante de safra definida que evidencia o potencial enológico da Vita Eterna e do terroir de Pinto Bandeira.
Vinhos e espumantes para fugir do óbvio em Pinto Bandeira, na Serra Gaúcha;Vinícola Vita Eterna;Fora do Óbvio;Vita Eterna Orange de Noir;Espumante Rosé / Orange;Champenoise / Maceração;Pinot Noir;Rompe com a lógica tradicional dos espumantes de Pinto Bandeira — um Orange de Noir de caráter único e provocador.
Vinhos e espumantes para fugir do óbvio em Pinto Bandeira, na Serra Gaúcha;Vinícola Terraças;Fora do Óbvio;Entre Terras Extra Brut Rosé;Espumante Rosé;Champenoise;Pinot Noir;Produtora menor e menos conhecida que entrega um rosé espumante de alta performance, fora do circuito habitual.
Vinhos e espumantes para fugir do óbvio em Pinto Bandeira, na Serra Gaúcha;Vinícola Valmarino;Fora do Óbvio;Valmarino Cabernet Franc Ano XXVII Safra 2022;Vinho Tinto;—;Cabernet Franc;Prova que Pinto Bandeira produz tintos de alta qualidade — o Cab Franc da Valmarino rivaliza com referências nacionais.
Vinhos e espumantes para fugir do óbvio em Pinto Bandeira, na Serra Gaúcha;Vinícola Don Giovanni;Fora do Óbvio;Don Giovanni Pinot Noir 2021;Vinho Tinto;—;Pinot Noir;Derruba o mito de que a altitude de Pinto Bandeira só serve espumantes — Pinot Noir de expressão e delicadeza raras.
Vinhos e espumantes para fugir do óbvio em Pinto Bandeira, na Serra Gaúcha;Família Geisse;Fora do Óbvio;Cave Amadeu Sur Lie Nature;Espumante Branco;Champenoise / Sur Lie;Chardonnay;Um dos espumantes mais minerais e complexos do portfolio Geisse — o método Sur Lie eleva ainda mais o potencial de guarda.
Vinhos e espumantes ícones de Pinto Bandeira, na Serra Gaúcha;Família Geisse;Ícone;Cave Geisse Terroir Nature;Espumante Branco;Champenoise;Chardonnay, Pinot Noir;Benchmark nacional — referência absoluta de espumante brasileiro pelo terroir, tempo de autólise e complexidade. Comparável a boas Champagnes de griffe.
Vinhos e espumantes ícones de Pinto Bandeira, na Serra Gaúcha;Família Geisse;Ícone;Cave Geisse Terroir Rosé Nature;Espumante Rosé;Champenoise;Pinot Noir, Chardonnay;Um dos rosés mais complexos e de maior potencial de guarda produzidos no Brasil. Expressão máxima do Pinot Noir sul-rio-grandense.
Vinhos e espumantes ícones de Pinto Bandeira, na Serra Gaúcha;Vinícola Don Giovanni;Ícone;Don Giovanni Série Ouro Extra Brut 60 meses;Espumante Branco;Champenoise;Chardonnay, Pinot Noir;60 meses de autólise colocam este espumante em nível de Champagne de prestígio — referência de tempo de guarda e complexidade.
Vinhos e espumantes ícones de Pinto Bandeira, na Serra Gaúcha;Vinícola Valmarino;Ícone;Cabernet Franc Churchill Safra 2021;Vinho Tinto;Barrica de Carvalho Francês;Cabernet Franc;Um dos melhores tintos do Brasil — faz a ponte entre o terroir de altitude de Pinto Bandeira e as grandes referências de Cabernet Franc do mundo.
Vinhos e espumantes ícones de Pinto Bandeira, na Serra Gaúcha;Vinícola Valmarino;Ícone;Valmarino Blanc de Blanc D.O. Altos de Pinto Bandeira 2021;Espumante Branco;Champenoise;Chardonnay;Carregar a D.O. Altos de Pinto Bandeira é um selo de pureza e terroir — Blanc de Blancs que honra a designação com qualidade de safra.
